"""",abbot,"""",,"""abbot"""
"""",Adrian,"""",,"""Adrian"""
"""",Ambrose,"""",,"""Ambrose"""
"""",Andrew,"""",,"""Andrew"""
"""",Andrewe,"""",,"""Andrewe"""
"""",archbishop,"""",,"""archbishop"""
"""",Archebalde,"""",,"""Archebalde"""
"""",Arthur,"""",,"""Arthur"""
"""",Barnaby,"""",,"""Barnaby"""
"""",bishop,"""",,"""bishop"""
"""",Brian,"""",,"""Brian"""
"""",byshop,"""",,"""byshop"""
"""",Charles,"""",,"""Charles"""
"""",Christierna,"""",,"""Christierna"""
"""",coronell,"""",,"""coronell"""
"""",counte,"""",,"""counte"""
"""",Cutbert,"""",,"""Cutbert"""
"""",Cuthbert,"""",,"""Cuthbert"""
"""",Dauid,"""",David,"""Dauid"""
"""",Doctor,"""",,"""Doctor"""
"""",Dudley,"""",,"""Dudley"""
"""",duke,"""",,"""duke"""
"""",earle,"""",,"""earle"""
"""",Edward,"""",,"""Edward"""
"""",Edwarde,"""",,"""Edwarde"""
"""",Elisabeth,"""",,"""Elisabeth"""
"""",Elizabeth,"""",,"""Elizabeth"""
"""",Emanuell,"""",,"""Emanuell"""
"""",Erle,"""",(earl),"""Erle"""
"""",Ferdinando,"""",,"""Ferdinando"""
"""",Francis,"""",,"""Francis"""
"""",Franncis,"""",,"""Franncis"""
"""",Frauncis,"""",,"""Frauncis"""
"""",George,"""",,"""George"""
"""",Gerneys,"""",,"""Gerneys"""
"""",Gerueys,"""",,"""Gerueys"""
"""",Gray,"""",,"""Gray"""
"""",Henrie,"""",,"""Henrie"""
"""",Henry,"""",,"""Henry"""
"""",Howard,"""",,"""Howard"""
"""",Iames,"""",(James),"""Iames"""
"""",Iohn,"""",,"""Iohn"""
"""",knight,"""",,"""knight"""
"""",Lard,"""",(scottish nobleman),"""Lard"""
"""",Laurence,"""",,"""Laurence"""
"""",Leonor,"""",,"""Leonor"""
"""",lord maior,"""",,"""lord maior"""
"""",Ludouico,"""",,"""Ludouico"""
"""",Maister,"""",,"""Maister"""
"""",Margaret,"""",,"""Margaret"""
"""",Marie,"""",,"""Marie"""
"""",Marques,"""",(marquess),"""Marques"""
"""",Matthew,"""",,"""Matthew"""
"""",Maurice,"""",,"""Maurice"""
"""",Monluc,"""",,"""Monluc"""
"""",Nicholas,"""",,"""Nicholas"""
"""",Peeter,"""",,"""Peeter"""
"""",Philibert,"""",,"""Philibert"""
"""",Philip,"""",,"""Philip"""
"""",Philippe,"""",,"""Philippe"""
"""",Prince,"""",,"""Prince"""
"""",Priour,"""",,"""Priour"""
"""",Queene,"""",,"""Queene"""
"""",quéene,"""",,"""quéene"""
"""",Raufe,"""",,"""Raufe"""
"""",Rause,"""",,"""Rause"""
"""",Richard,"""",,"""Richard"""
"""",Richarde,"""",,"""Richarde"""
"""",Robert,"""",,"""Robert"""
"""",Roberte,"""",,"""Roberte"""
"""",Rowland,"""",,"""Rowland"""
"""",Scattergood,"""",,"""Scattergood"""
"""",sir,"""",,"""sir"""
"""",Thomas,"""",,"""Thomas"""
"""",Trombull,"""",,"""Trombull"""
"""",VViliam,"""",,"""VViliam"""
"""",William,"""",,"""William"""
